id,gender,program_enrolled,year_level,age,c,java,information_management,oop,python,mysql,web_development
2020-01865,Male,Bachelor of Science in Information Technology,Third Year,20,2.25,2.75,3,2.5,2.25,2.75,3
2020-01903,Male,Bachelor of Science in Information Technology,Third Year,22,2.25,2.5,2.75,2.5,2.5,2,2
2020-01948,Male,Bachelor of Science in Information Technology,Third Year,20,2.5,2.25,3,2,1.25,2.5,2.5
2019-00457,Male,Bachelor of Science in Computer Science,Fourth Year,22,3,3,3,3,2.25,2.75,2.5
2019-00069,Male,Bachelor of Science in Computer Science,Fourth Year,22,2.25,3,3,3,2.5,3,1.25
2020-1914,Male,Bachelor of Science in Information Technology,Third Year,20,2.75,3,1.25,3,1.25,2,1.75
2019-00651,Female,Bachelor of Science in Information Technology,Fourth Year,21,2.25,2.5,1.5,3,1.75,1.5,1.5
2019-00682,Male,Bachelor of Science in Information Technology,Fourth Year,20,2.75,2.5,2.25,3,2.5,2,1.5
2012-00628,Male,Bachelor of Science in Information Technology,Fourth Year,26,3,3,3,3,3,2.25,2
2018-01975,Female,Bachelor of Science in Computer Science,Fourth Year,22,1,2.25,2.5,2,2.75,2.25,1.5
2017-00492,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.25,1.5,2.25,2,2.5,2.75,2
2018-03205,Male,Bachelor of Science in Information Technology,Third Year,24,2.75,2.25,2.5,2,2.75,2.75,2
2020-01941,Male,Bachelor of Science in Information Technology,Third Year,20,2.25,2,2.5,2.75,2.5,2.5,2
2020-01921,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.75,2.25,2.25,2.5,2.75,2.25
2019-01387,Female,Bachelor of Science in Information Technology,Fourth Year,22,2.5,2.5,2.25,3,1.5,3,1
2020-01888,Better not to mention,Bachelor of Science in Information Technology,Third Year,21,2.25,2.5,2.5,2.75,2,2,2.5
2018-02029,Male,Bachelor of Science in Information Technology,Third Year,22,2.75,2.5,2.5,2,2.5,2.25,2
2020-01924,Female,Bachelor of Science in Information Technology,Third Year,20,1.25,2.25,2.75,2.5,2,2.75,1.25
2019-00779,Male,Bachelor of Science in Information Technology,Third Year,22,2.25,2.5,3,3,2,2.25,2.75
2020-01931,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2,2.5,2,2.75,2.5,2
2020-01900,Male,Bachelor of Science in Information Technology,Third Year,20,2.5,2.25,3,3,2.5,2.75,2.25
2020-1929,Male,Bachelor of Science in Information Technology,Third Year,19,2.5,2.25,3,2.75,2.25,2,1.25
2020-01897,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2.5,2,2.75,2,2.5,2
2020-01902,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.25,2.75,2.75,2,1.5,2.5
2020-02176,Male,Bachelor of Science in Computer Science,Third Year,20,1.25,1.75,3,2.5,2,2.75,2.5
2017-00379,Male,Bachelor of Science in Information Technology,Fourth Year,21,3,2,2.5,1.75,1.75,2.5,1.75
2019-02535,Bisexual,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2.25,3,2,2,3,2
2020-0811,Male,Bachelor of Science in Information Technology,Third Year,22,1,1.25,1.5,1.5,1.75,1.25,2.5
2020-03757,Female,Bachelor of Science in Information Technology,Fourth Year,22,2.25,2.5,2,1.25,2.5,2.75,2.75
2019-01387,Female,Bachelor of Science in Information Technology,Third Year,22,2.25,3,1.25,2.25,2.75,3,1.75
2019-00988,Female,Bachelor of Science in Computer Science,Fourth Year,23,1.75,2.25,2.75,3,2.2,3,2
2018-01706,Gay,Bachelor of Science in Computer Science,Fourth Year,23,1.75,2.5,2,2.25,1.75,2.5,1.75
2019-00489,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.5,2.75,2.5,1.25,2.75,2.25
2019-00489,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2,2,1.25,1.5,2.75,2
2019-00489,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1,2.25,1.5,2.75,1.5,2.25,2.5
 2019-00020,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1.25,1.5,1.75,2.25,1.25,2,1.75
2019-01244,Gay,Bachelor of Science in Computer Science,Fourth Year,27,1.5,2.25,1.25,2.5,1.25,1.25,2
2019-00994,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.25,2.5,2.75,1.5,3,1.25
2019-00139,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1,1.25,1.5,1.75,1.5,1.5,1.25
2019-00860,Gay,Bachelor of Science in Computer Science,Fourth Year,21,1.25,2.25,1.75,1.75,1.75,2.75,1.75
